Won,Kills,Deaths,Assists,Dragons,Minions killed
blue,6,4,4,0,252
red,7,7,7,1,188
blue,5,9,5,0,180
red,8,6,12,1,178
blue,5,4,3,1,256
blue,9,4,16,1,188
red,5,3,5,0,225
blue,6,2,4,0,234
blue,9,3,8,1,211
red,11,12,9,0,175
red,10,6,9,0,243
blue,5,6,5,0,222
red,5,12,8,1,206
red,2,6,1,0,218
blue,7,9,5,0,206
blue,4,3,5,1,239
red,4,6,5,0,231
red,10,10,15,0,221
blue,4,3,3,0,242
blue,13,5,10,0,194
blue,6,10,6,1,210
red,6,5,6,0,211
blue,8,4,10,0,239
red,6,6,9,0,226
red,1,3,1,0,221
blue,3,4,4,0,203
red,6,2,11,0,270
blue,13,5,16,0,232
red,0,6,0,0,255
red,5,3,4,0,264
blue,3,6,4,1,179
red,3,7,4,0,220
blue,5,2,2,0,238
red,8,4,9,1,206
blue,6,7,4,1,198
red,4,3,2,1,233
blue,10,2,12,1,239
red,4,2,5,0,226
red,8,5,11,0,235
blue,8,2,9,0,233
blue,10,7,12,0,201
blue,6,6,11,0,218
blue,6,5,10,0,192
blue,4,4,4,0,221
blue,1,1,2,1,219
blue,4,4,2,0,248
blue,11,6,17,0,191
red,6,9,9,0,208
blue,5,5,5,0,232
red,8,7,9,0,197
blue,6,6,6,1,206
red,0,4,0,0,207
red,6,7,4,1,237
red,4,8,5,0,215
red,2,3,1,0,241
red,6,8,4,0,203
red,6,8,5,1,186
red,5,9,5,1,199
red,3,7,2,0,228
red,6,5,7,0,180
blue,11,7,15,0,219
red,7,9,5,0,212
red,4,10,4,0,218
blue,8,4,8,0,193
blue,12,5,13,0,189
blue,5,4,8,1,223
red,3,7,1,0,215
blue,7,6,12,1,193
red,4,10,3,0,188
red,7,7,6,0,216
red,4,7,3,1,249
blue,4,4,2,0,250
red,4,10,1,0,218
blue,4,6,2,0,229
blue,1,4,1,1,241
blue,6,4,7,1,242
red,2,9,1,0,182
blue,8,10,5,0,224
red,15,3,5,0,261
red,9,12,10,0,209
red,1,5,0,1,217
blue,4,4,5,0,253
red,2,7,1,0,252
blue,7,7,7,1,235
blue,5,2,6,1,203
blue,10,3,10,0,240
blue,6,2,4,1,247
blue,5,1,9,1,241
red,10,13,12,0,200
red,3,10,4,0,215
blue,4,5,4,0,207
red,5,9,7,0,195
red,4,12,7,0,208
red,2,6,3,0,208
blue,3,4,5,0,245
blue,5,5,9,0,231
blue,6,10,6,0,181
blue,3,4,3,1,220
blue,7,5,12,0,199
red,6,5,7,1,204
blue,6,2,7,0,242
red,3,9,2,0,158
blue,12,6,25,1,226
red,3,5,6,0,228
blue,7,7,10,1,191
red,5,8,6,1,174
blue,6,2,5,0,276
blue,5,2,7,1,251
blue,17,9,19,0,205
blue,9,5,9,1,257
blue,7,3,9,0,224
red,7,6,8,0,214
blue,6,6,7,0,211
blue,8,2,11,1,220
blue,11,6,15,1,197
blue,10,4,15,1,230
red,4,6,0,0,248
blue,6,7,7,0,203
red,3,11,4,1,200
red,7,8,6,1,193
red,2,8,1,0,210
blue,14,6,22,0,174
red,6,10,5,0,190
red,10,4,7,0,224
blue,13,5,16,0,212
red,9,5,7,1,255
blue,8,3,6,1,231
red,8,10,8,0,214
red,6,7,8,1,208
blue,9,4,10,1,263
red,4,10,6,0,212
blue,6,3,5,0,226
red,2,5,4,1,215
blue,9,8,5,1,194
blue,4,3,4,0,215
blue,2,3,1,0,242
red,8,8,6,0,208
red,5,12,11,1,168
blue,13,3,11,0,223
red,3,5,4,0,233
red,10,6,18,0,192
blue,10,6,15,1,216
blue,9,5,9,0,225
red,6,12,6,0,159
blue,8,9,9,0,209
red,9,9,9,0,214
blue,14,4,14,0,218
red,7,14,8,0,190
blue,7,2,5,1,226
blue,3,4,2,1,201
red,7,7,8,0,226
blue,10,6,10,0,223
red,3,5,4,0,215
blue,4,3,3,1,224
red,5,12,5,0,222
blue,3,2,3,0,215
blue,10,8,14,1,206
blue,7,8,12,1,202
red,2,7,0,0,224
red,6,7,5,0,205
blue,5,6,6,0,202
red,2,9,2,0,185
blue,4,1,4,1,253
blue,8,2,8,0,258
red,4,11,3,0,216
blue,3,7,3,0,229
red,8,6,12,0,200
red,10,5,7,0,231
blue,6,2,6,1,236
red,5,14,6,1,167
blue,4,4,1,0,209
blue,4,3,10,1,241
blue,16,5,14,1,203
blue,5,3,6,0,235
red,9,10,6,1,197
red,5,4,5,0,203
blue,8,7,8,0,261
blue,9,5,9,1,206
red,9,10,5,0,224
blue,11,6,13,1,201
red,2,10,0,0,227
red,5,8,3,0,254
red,0,5,0,0,195
red,3,7,0,0,197
red,8,6,9,1,199
red,8,7,8,0,232
blue,7,6,6,1,255
blue,8,6,8,1,202
red,2,2,0,0,208
red,9,15,10,0,187
red,5,8,6,0,221
blue,8,8,8,1,217
blue,6,9,5,1,199
red,3,8,2,0,183
red,3,5,3,0,220
red,5,9,3,0,183
red,4,3,5,0,215
red,4,3,6,0,178
blue,8,4,11,0,216
blue,5,2,5,0,250
red,8,5,7,0,217
red,6,7,8,0,190
red,7,12,6,1,222
blue,9,6,8,0,228
blue,13,8,13,0,220
blue,8,4,9,0,205
blue,11,9,13,0,206
blue,11,4,14,1,199
blue,8,11,8,0,180
blue,12,4,18,1,216
blue,7,5,6,1,214
blue,9,3,6,1,234
red,7,2,5,0,225
blue,8,3,4,1,231
blue,10,6,9,0,245
red,5,6,7,0,170
red,1,1,0,0,229
red,11,9,13,1,223
blue,7,6,9,1,225
blue,12,4,16,1,220
red,8,8,12,0,175
blue,10,4,11,1,205
blue,8,1,14,1,203
red,8,12,11,0,207
blue,8,5,4,0,217
blue,4,2,4,0,222
red,11,2,9,0,221
blue,10,9,7,0,214
red,7,3,11,0,238
blue,7,4,12,0,211
blue,7,8,8,0,188
blue,10,4,9,1,252
red,13,6,14,0,199
blue,2,1,2,1,269
red,5,5,6,0,217
blue,5,6,7,0,247
red,10,4,8,0,210
red,3,15,2,0,176
blue,6,7,8,1,203
blue,12,4,19,1,193
red,4,6,5,1,210
red,10,7,13,0,205
red,15,6,15,0,213
red,14,4,15,1,213
blue,6,9,4,1,201
red,9,10,10,0,207
blue,7,1,4,1,221
red,5,5,6,0,229
blue,4,7,1,0,207
blue,5,8,3,1,198
blue,8,7,13,0,196
red,2,12,2,0,194
red,2,4,1,0,207
red,5,6,7,0,202
blue,9,4,13,0,195
blue,9,5,8,1,220
red,10,11,9,1,199
red,6,6,7,1,205
red,8,13,4,0,202
red,8,13,8,0,172
red,6,5,6,0,232
red,5,10,5,0,227
blue,11,10,11,0,221
blue,8,4,9,1,228
blue,5,4,6,0,239
red,1,4,1,0,251
blue,8,2,16,1,232
red,6,8,7,0,222
blue,17,1,23,1,226
red,3,9,5,0,219
red,1,16,1,1,179
blue,4,6,6,1,234
red,6,7,6,0,215
blue,9,6,9,0,226
red,4,7,6,0,241
blue,8,5,8,0,218
red,7,7,6,0,236
red,5,11,6,0,208
blue,9,4,13,0,210
blue,7,6,7,0,236
blue,9,10,7,0,229
red,4,5,7,1,207
red,4,3,6,0,252
red,8,12,5,0,154
blue,7,4,8,1,237
red,5,7,9,1,206
blue,7,5,7,1,227
red,1,11,0,0,201
red,8,8,8,1,206
blue,12,6,16,0,213
blue,5,5,8,0,209
red,2,7,1,1,183
red,6,5,7,0,242
red,8,8,5,0,235
red,4,12,1,0,164
red,5,10,5,0,233
red,3,9,1,0,211
red,2,8,2,0,233
red,3,3,2,0,214
blue,8,13,8,0,228
red,6,12,7,1,220
blue,5,6,4,0,196
blue,9,7,10,1,218
red,5,4,5,0,219
blue,6,7,6,0,201
red,2,8,3,0,202
blue,13,3,13,1,220
blue,4,2,5,1,236
blue,4,4,5,0,221
blue,9,3,11,0,203
red,7,11,11,1,216
red,9,10,14,1,166
red,6,6,5,1,214
blue,6,4,5,1,236
blue,10,4,10,1,196
blue,5,2,6,0,234
blue,4,2,4,1,231
blue,5,3,3,1,234
red,6,6,10,0,190
blue,8,4,7,1,201
red,1,7,2,0,188
blue,11,6,13,0,243
blue,4,7,3,1,227
blue,7,5,5,1,202
blue,6,9,10,1,222
red,4,5,4,0,237
red,3,3,1,0,200
red,6,12,4,0,198
blue,11,8,8,1,229
blue,9,4,11,1,188
red,5,10,2,0,220
blue,6,3,5,0,238
blue,11,6,14,1,195
red,8,8,2,0,189
blue,7,7,9,0,212
red,4,2,5,0,243
red,7,6,7,0,193
blue,8,5,10,1,215
blue,2,6,2,0,236
blue,7,8,6,0,209
red,6,8,7,0,233
blue,10,8,10,1,217
red,6,8,8,0,212
blue,7,7,6,1,239
red,5,4,4,0,207
blue,7,4,4,1,218
blue,4,2,3,1,236
blue,9,5,10,1,226
blue,4,2,3,0,246
blue,6,7,7,0,233
red,11,6,22,0,226
blue,9,0,8,0,221
red,6,4,8,0,205
blue,12,10,20,0,172
blue,14,12,14,1,204
blue,4,5,3,0,214
blue,6,5,7,0,221
red,1,4,1,0,220
red,1,2,1,0,246
red,5,11,5,1,193
blue,6,2,6,1,245
blue,10,7,8,0,240
blue,3,3,4,1,194
blue,1,5,1,1,210
red,6,6,7,1,191
blue,5,3,7,1,217
blue,6,5,8,0,238
blue,6,5,5,1,209
red,9,6,5,0,210
red,6,8,6,0,219
blue,10,4,13,1,212
red,7,8,11,1,241
red,3,8,3,0,205
red,5,7,8,1,215
red,7,4,6,0,207
blue,4,7,4,0,224
blue,10,5,16,1,173
red,8,10,8,1,205
blue,6,7,6,0,204
red,4,7,2,0,234
blue,9,3,11,0,220
blue,2,1,3,1,230
red,3,4,6,0,226
red,4,4,4,0,178
blue,6,3,5,0,243
red,6,7,8,0,204
blue,3,6,6,1,238
red,9,8,12,0,166
red,6,10,4,0,202
blue,9,4,12,1,210
red,7,6,12,0,227
blue,6,9,3,1,199
red,9,18,9,0,162
red,10,7,11,0,183
blue,7,3,10,1,228
red,4,7,5,0,219
red,8,7,13,1,165
red,4,7,2,0,208
blue,6,6,9,0,238
blue,13,1,10,1,258
blue,4,5,7,0,217
red,10,9,13,1,192
blue,5,4,7,0,205
blue,7,2,5,0,226
blue,10,2,14,1,203
blue,6,5,6,0,195
red,8,8,7,0,206
blue,7,2,6,0,248
red,1,10,0,0,210
blue,7,8,8,0,219
blue,8,4,10,1,231
red,5,12,12,0,222
red,5,12,2,0,169
red,7,8,7,0,201
blue,7,5,14,1,230
red,5,3,5,0,225
blue,6,4,9,1,218
red,6,10,5,0,189
blue,6,3,9,0,197
blue,7,3,10,0,224
blue,6,4,7,0,226
red,4,5,4,0,261
blue,7,4,7,1,186
red,7,7,8,0,191
blue,10,6,9,1,219
blue,10,7,8,1,221
blue,9,5,10,0,229
blue,5,9,7,0,193
blue,6,4,8,1,221
red,3,8,5,1,232
blue,9,5,6,0,194
blue,7,4,6,0,210
blue,4,8,4,0,222
blue,6,5,6,0,167
red,2,7,3,0,210
blue,2,3,1,0,245
red,6,7,4,0,231
blue,7,5,7,1,240
red,3,6,3,0,195
blue,12,5,15,1,192
red,2,8,1,0,194
blue,9,4,7,1,234
blue,7,8,8,1,197
blue,4,4,5,0,237
red,8,2,11,0,222
blue,7,7,7,1,221
red,5,3,5,0,230
red,6,5,4,1,206
blue,6,7,4,0,195
red,3,8,4,0,206
blue,6,6,6,0,226
blue,2,1,3,1,245
blue,0,5,0,0,201
red,8,6,3,0,216
red,5,14,3,0,210
red,5,7,4,0,210
blue,6,8,5,0,214
red,7,11,6,0,207
red,5,5,7,1,188
red,3,6,6,0,208
red,7,5,9,0,214
red,4,12,5,1,226
blue,9,3,8,1,216
blue,6,7,6,0,192
blue,3,2,2,0,224
blue,10,3,12,1,219
red,7,5,12,0,220
red,4,3,3,0,203
red,3,8,1,0,194
red,2,13,3,0,187
red,5,6,6,0,201
blue,7,2,7,1,216
red,2,4,5,0,233
red,4,5,4,0,196
blue,8,5,10,0,247
red,5,5,3,0,213
red,6,5,5,0,197
blue,3,4,4,0,236
red,8,8,13,0,193
red,4,8,7,0,198
blue,10,4,7,0,205
red,2,3,2,0,228
red,10,5,10,0,205
blue,7,3,4,1,234
red,6,11,10,1,208
red,6,2,6,0,235
red,6,9,8,0,226
red,5,4,7,1,223
blue,4,2,2,1,220
blue,12,5,19,1,221
blue,8,9,7,1,149
red,4,8,4,1,185
red,8,8,10,1,207
blue,9,3,8,1,209
red,8,8,11,0,198
red,3,8,4,0,177
red,3,10,1,1,167
red,4,4,9,1,230
blue,7,6,6,1,219
red,11,9,14,0,195
red,11,9,12,0,202
red,4,3,2,0,230
blue,6,4,4,0,238
red,12,8,13,1,232
red,1,4,1,0,232
red,5,7,9,0,222
red,7,10,5,0,202
blue,9,11,10,0,198
red,2,4,3,0,240
blue,10,8,17,1,201
red,8,3,11,0,204
blue,4,5,7,0,254
blue,6,5,5,0,238
red,1,4,1,0,235
red,5,3,3,1,255
red,5,9,4,0,206
red,6,15,9,0,161
red,5,1,8,1,215
red,6,6,9,1,233
red,6,4,6,0,212
blue,8,4,7,0,256
red,8,6,8,0,226
red,4,2,7,0,191
blue,9,10,10,0,229
blue,7,4,5,0,233
red,8,1,6,0,264
red,8,5,6,0,209
red,2,3,2,1,220
blue,6,5,7,1,232
blue,4,5,3,0,264
red,2,8,2,1,204
red,5,3,7,0,257
red,5,9,2,1,155
red,3,13,6,0,207
red,3,3,6,1,261
blue,7,2,9,0,209
red,4,8,4,1,196
blue,12,5,18,1,227
blue,9,1,9,1,229
blue,6,1,2,1,276
red,8,10,4,0,213
blue,5,4,3,1,214
blue,8,9,7,0,200
red,4,6,4,0,187
red,8,10,10,0,206
blue,7,4,11,0,231
red,1,9,0,0,194
red,8,8,9,1,214
blue,2,2,0,0,239
red,5,4,4,0,244
red,7,11,9,0,198
red,5,3,6,1,249
red,7,7,11,0,230
blue,3,6,4,0,228
red,6,8,3,0,203
blue,12,3,17,1,272
red,7,13,9,0,186
blue,5,5,10,0,194
red,5,11,6,0,209
red,1,5,1,1,214
blue,2,10,1,0,204
blue,7,6,6,0,254
red,5,9,5,1,207
blue,11,1,13,0,230
blue,8,12,5,1,216
blue,18,10,15,1,224
red,5,1,7,1,221
blue,5,4,3,1,184
red,5,6,3,0,223
red,4,3,4,0,236
red,5,1,5,1,233
red,10,7,15,1,177
red,6,6,5,0,236
blue,8,8,5,0,227
blue,9,2,16,1,254
blue,11,10,8,1,205
blue,5,6,2,0,251
red,5,4,7,1,243
red,3,8,2,0,238
red,3,13,2,0,197
red,8,8,11,0,218
blue,11,5,10,0,217
blue,13,10,18,1,207
blue,6,9,8,0,187
blue,9,7,4,0,239
red,6,8,9,0,186
blue,7,5,8,1,209
red,6,5,6,1,225
red,9,5,10,1,198
red,9,11,7,0,207
blue,8,7,7,1,224
blue,9,1,9,1,249
red,5,6,5,0,219
red,2,6,0,0,239
blue,12,5,17,0,194
red,8,7,8,0,239
red,3,6,3,1,234
red,4,7,4,0,206
red,4,7,1,0,230
blue,8,4,11,0,218
red,3,6,3,1,232
blue,6,4,7,0,221
red,6,6,10,0,205
red,5,10,5,0,183
red,7,10,7,0,209
blue,8,11,13,1,200
red,11,6,17,0,201
red,4,7,2,0,207
red,4,6,2,0,235
blue,10,3,11,0,218
red,0,5,0,0,218
red,7,8,6,0,186
red,4,4,0,0,197
blue,7,4,8,1,229
red,5,3,10,0,184
blue,9,6,10,1,242
blue,7,4,8,1,220
red,7,7,12,0,211
blue,5,8,4,1,218
red,4,7,2,0,205
blue,9,8,7,1,207
blue,5,5,6,0,251
blue,5,2,5,1,205
red,6,6,5,0,195
blue,5,4,1,1,211
red,2,5,2,0,193
red,7,5,5,0,241
blue,9,8,17,0,204
red,8,2,9,0,207
red,11,9,15,0,219
red,3,4,2,0,226
red,6,8,10,0,189
red,1,6,1,0,239
red,6,5,6,0,197
red,4,8,3,1,175
red,6,6,7,1,225
red,8,5,9,0,225
red,7,9,9,1,205
red,7,4,6,0,207
red,3,7,3,0,212
blue,12,5,13,1,228
blue,1,7,0,1,208
blue,4,1,3,1,271
blue,6,7,5,0,188
red,6,3,8,0,222
blue,8,2,10,0,236
blue,5,4,6,0,231
red,8,10,11,1,207
blue,13,7,10,1,234
blue,9,6,15,0,218
red,2,15,2,0,130
red,7,4,7,0,239
blue,6,8,9,0,233
blue,1,2,1,0,225
red,6,12,8,0,187
blue,5,6,11,1,223
blue,1,4,2,0,214
red,7,9,7,1,198
red,4,6,4,0,205
blue,6,5,4,1,235
red,2,4,3,0,223
red,9,11,13,0,228
blue,6,9,3,0,165
red,3,11,3,0,217
blue,11,8,11,0,192
blue,9,6,10,0,197
red,1,6,1,0,241
blue,10,6,9,1,212
red,3,7,3,0,185
red,3,4,5,0,217
blue,2,2,2,1,246
red,1,7,0,0,222
red,6,8,4,1,204
blue,6,7,3,1,224
red,6,8,7,1,204
blue,8,6,10,0,199
red,7,4,7,0,222
blue,8,2,7,0,228
red,8,8,12,1,214
blue,6,0,7,1,260
red,3,2,3,0,239
blue,8,3,12,1,237
blue,12,4,16,1,229
red,5,12,5,0,202
red,9,5,8,0,222
red,7,8,8,0,193
blue,4,11,3,1,217
blue,8,8,6,1,235
red,2,14,3,0,181
red,5,7,4,0,204
blue,8,6,6,0,252
red,5,8,5,1,219
red,1,7,1,1,235
red,7,11,10,0,194
red,5,5,4,0,203
blue,10,1,9,1,253
blue,10,6,10,0,218
blue,10,5,10,1,236
red,3,2,3,1,234
blue,11,5,8,1,204
red,12,9,13,0,193
blue,10,7,9,0,209
red,5,7,4,0,230
blue,7,10,4,0,229
blue,3,6,3,0,220
blue,11,9,8,0,207
blue,4,12,4,0,202
blue,5,9,6,0,238
red,7,6,8,1,221
red,3,11,5,0,215
blue,7,5,5,1,241
blue,3,3,5,1,240
blue,7,0,8,1,259
red,3,11,4,0,173
blue,3,1,3,0,269
blue,10,6,12,1,240
blue,3,1,0,1,241
blue,8,9,5,0,214
blue,10,7,9,0,208
blue,8,7,6,1,226
blue,15,4,16,0,208
blue,4,4,3,0,221
blue,8,5,8,1,229
blue,9,5,12,1,204
blue,8,4,9,0,239
red,5,13,8,0,169
red,5,8,6,0,240
blue,8,2,9,0,230
red,3,5,3,0,206
red,11,14,10,0,225
red,3,2,3,0,223
blue,6,5,3,0,234
blue,15,4,16,1,247
red,8,6,8,0,207
red,5,4,2,0,229
red,6,3,5,0,180
blue,10,7,6,1,189
blue,12,7,15,0,182
red,2,11,1,1,230
blue,8,5,9,1,185
blue,2,4,2,1,209
blue,4,7,1,1,222
blue,7,2,8,0,226
red,3,5,3,0,200
red,4,11,6,0,235
blue,8,5,7,1,269
red,7,4,6,0,241
red,7,14,6,0,176
red,3,6,1,0,202
blue,3,5,6,1,231
blue,2,4,4,0,231
blue,9,4,11,0,236
red,6,4,5,0,212
red,2,3,4,0,226
red,4,8,5,0,252
blue,8,7,8,0,204
red,1,7,1,0,179
blue,5,7,6,0,223
red,2,9,1,0,225
red,3,7,4,0,192
blue,14,8,15,0,180
red,6,3,7,0,235
red,6,14,4,0,154
blue,3,1,3,1,251
red,6,9,3,0,229
blue,6,10,4,0,222
blue,10,6,15,1,216
blue,7,1,11,1,243
red,2,11,3,0,203
blue,8,6,7,1,238
red,3,4,5,1,239
blue,9,4,11,0,226
red,8,10,11,0,192
blue,4,9,3,1,223
blue,7,9,7,0,197
blue,7,5,6,0,204
red,3,9,4,0,250
red,2,11,2,0,213
red,3,9,2,0,183
red,7,12,6,0,193
blue,5,5,3,0,206
blue,4,3,7,1,250
blue,9,5,7,0,179
blue,7,5,5,0,189
red,5,9,6,0,203
red,6,9,9,0,215
red,8,5,5,0,238
red,5,8,6,0,233
red,7,5,7,0,221
blue,6,2,8,1,201
red,2,3,2,1,222
red,5,8,8,1,245
red,7,9,4,0,187
red,5,7,5,0,192
blue,11,5,7,0,221
blue,3,4,3,0,231
blue,7,3,9,0,244
blue,10,7,9,0,170
red,8,5,5,0,190
blue,3,9,3,0,223
red,4,5,5,0,219
red,4,6,3,1,215
red,1,4,0,0,189
red,11,8,11,1,209
blue,15,4,18,1,216
blue,9,7,9,1,240
blue,13,3,13,0,239
red,3,9,3,1,234
red,9,8,8,0,219
blue,5,5,4,1,230
blue,2,5,2,1,246
blue,1,4,1,0,228
blue,7,5,7,0,211
red,4,11,3,0,191
blue,10,6,10,0,195
blue,7,11,8,0,226
blue,6,8,5,1,204
red,4,8,1,0,240
blue,7,5,5,0,225
blue,10,6,14,1,212
red,6,8,4,0,221
red,6,8,5,0,206
red,6,8,10,1,181
red,7,11,6,0,197
red,7,7,10,0,228
red,5,3,5,0,216
blue,7,9,6,0,218
blue,8,3,8,0,195
blue,5,4,3,0,247
red,1,9,2,0,189
blue,9,6,17,1,222
blue,6,4,9,0,213
blue,5,4,7,1,210
blue,7,3,4,1,234
blue,7,4,9,0,224
red,5,12,4,0,216
blue,13,4,13,1,207
blue,4,2,4,0,261
red,4,8,6,0,203
red,10,5,9,1,257
blue,8,2,10,1,246
blue,4,10,1,0,219
red,7,7,6,0,226
blue,10,5,15,0,197
red,1,3,1,0,225
blue,9,4,15,1,224
red,5,4,6,0,222
red,2,4,3,0,214
red,5,3,5,0,226
blue,18,4,14,1,235
blue,2,4,3,0,217
blue,8,6,11,0,215
red,4,10,5,0,234
blue,8,9,6,0,224
blue,9,8,19,1,237
blue,6,5,5,0,222
blue,7,3,7,1,215
blue,8,3,5,0,218
blue,4,6,5,0,212
red,3,4,4,1,186
red,2,5,4,1,226
red,6,6,4,0,245
red,1,7,0,0,202
red,11,11,13,0,213
blue,4,6,5,0,170
red,4,7,6,0,229
blue,8,8,8,1,195
red,4,7,5,1,200
red,2,5,2,0,237
red,9,6,11,0,239
red,3,12,5,0,192
blue,8,5,9,0,232
blue,8,2,10,1,237
red,9,9,4,0,172
blue,7,2,8,0,207
blue,11,12,12,0,211
red,6,9,6,0,199
red,3,8,2,0,205
red,2,11,2,1,201
red,4,7,6,1,218
red,7,11,5,1,205
red,7,5,6,1,230
blue,8,10,10,0,201
blue,11,6,14,1,201
red,5,9,3,0,200
red,4,10,4,0,207
blue,9,1,9,1,232
red,1,5,1,0,234
red,5,13,3,0,190
red,6,3,7,1,218
red,6,4,10,1,216
red,9,3,8,0,210
red,5,11,3,0,199
red,0,6,0,0,207
red,5,5,3,0,249
blue,8,4,14,1,194
red,2,5,1,1,242
red,3,11,4,0,184
red,10,7,7,0,229
red,5,12,7,0,202
blue,5,5,10,1,208
red,6,2,9,1,224
red,6,7,10,1,202
blue,8,5,16,1,187
blue,9,4,6,1,247
red,5,6,6,0,237
blue,6,7,8,1,197
blue,15,5,17,0,191
blue,10,5,14,1,226
blue,5,9,7,0,174
blue,11,5,9,1,214
blue,4,5,3,1,223
red,1,11,1,0,157
red,9,8,10,1,227
blue,8,8,7,0,214
blue,8,5,8,0,228
red,5,6,4,0,230
blue,4,3,5,0,221
blue,8,5,8,0,247
blue,6,5,9,0,170
blue,7,6,11,1,239
blue,9,5,8,1,216
blue,8,1,9,0,221
red,7,4,5,1,250
red,4,3,3,1,240
red,3,5,2,1,231
blue,13,7,14,0,216
blue,7,3,7,0,220
red,5,5,7,1,211
red,2,7,1,0,222
blue,7,8,5,0,215
blue,7,6,9,1,201
blue,3,2,4,0,252
red,1,8,1,0,219
blue,6,6,12,1,192
red,9,15,7,0,189
blue,11,3,13,1,219
blue,3,3,2,1,230
blue,8,4,11,1,202
red,6,7,8,1,175
red,1,8,2,0,191
blue,4,8,4,0,221
red,2,6,3,1,228
blue,12,8,17,1,199
blue,8,10,7,1,226
blue,3,3,3,0,238
blue,6,4,7,0,223
red,4,3,8,1,230
red,4,14,4,0,188
red,3,5,3,0,218
red,5,7,5,0,182
red,3,2,5,0,205
red,3,4,2,0,234
red,6,8,4,0,181
red,4,9,1,1,222
blue,7,7,6,1,217
blue,11,1,18,1,225
red,8,7,7,0,248
red,3,7,2,0,245
red,8,3,4,0,225
red,1,2,1,0,213
blue,4,6,8,0,208
blue,12,6,12,0,158
blue,6,1,8,0,243
blue,6,11,7,1,191
red,8,6,15,1,190
blue,4,8,4,1,225
red,3,3,3,0,185
red,2,5,1,1,221
red,4,3,5,0,197
red,5,9,8,0,194
red,6,8,10,0,213
red,3,4,2,0,230
red,5,8,3,1,192
red,5,9,2,0,213
red,6,11,9,0,179
blue,6,6,14,1,230
red,4,10,5,0,240
red,10,10,14,0,179
blue,8,6,12,0,206
blue,5,1,6,1,254
red,5,3,9,0,228
red,7,7,15,0,214
red,2,12,3,1,173
blue,13,4,12,1,263
red,3,5,3,0,234
red,4,12,4,0,192
blue,10,0,8,0,243
blue,7,5,2,1,249
blue,9,6,10,1,200
blue,9,8,8,0,227
red,2,10,3,0,197
blue,3,4,1,0,184
red,1,8,0,0,173
red,6,5,7,0,203
blue,5,7,5,0,218
blue,12,5,10,0,218
blue,14,4,13,0,216
red,12,12,6,1,213
red,2,3,4,0,187
blue,7,5,8,1,238
red,3,8,2,0,225
red,7,4,7,0,217
red,5,5,5,1,224
blue,12,9,8,0,190
red,4,12,5,0,189
red,4,7,4,0,236
blue,5,3,4,1,245
blue,8,6,6,0,184
blue,2,3,1,1,229
red,4,6,2,0,190
blue,9,5,6,0,220
blue,5,8,7,0,219
red,6,7,8,1,194
red,3,11,3,0,171
red,6,12,7,0,203
blue,2,0,2,1,240
blue,4,2,5,0,230
red,4,9,5,0,208
red,9,9,9,0,187
blue,17,6,17,1,251
red,5,11,7,0,185
red,3,7,4,0,220
red,3,8,3,0,205
red,1,7,1,0,198
blue,4,1,3,0,261
blue,6,3,6,1,233
blue,5,7,6,0,235
red,3,9,5,0,182
blue,7,10,4,0,214
red,4,5,6,0,236
blue,6,1,7,1,200
red,2,4,4,0,192
blue,9,5,8,0,199
blue,11,4,12,0,218
blue,5,5,5,1,236
blue,5,4,5,0,216
red,5,13,3,0,206
blue,11,4,9,0,218
blue,6,10,7,0,191
blue,7,9,3,0,182
red,5,7,8,1,216
blue,8,1,12,0,261
red,3,4,2,0,245
blue,5,4,6,0,215
blue,8,10,10,1,174
red,11,4,8,0,225
blue,13,4,17,1,213
blue,10,2,7,1,248
red,3,5,6,0,216
red,5,15,4,0,198
red,3,6,3,0,236
red,2,8,1,0,221
blue,8,6,7,1,216
blue,5,0,4,0,250
blue,4,7,6,0,234
red,5,14,7,0,203
red,5,5,2,0,201
red,2,6,2,1,170
red,4,5,6,0,225
red,6,5,13,0,209
blue,11,1,12,0,207
blue,8,4,14,1,210
blue,5,4,5,0,224
red,9,7,8,0,212
blue,4,3,5,1,218
red,5,9,4,0,163
red,3,6,2,1,148
red,6,9,4,0,195
blue,9,4,9,0,246
red,8,3,13,0,270
blue,3,5,5,0,226
blue,5,4,6,0,201
blue,7,2,5,0,218
red,4,0,5,0,210
red,3,4,1,0,250
red,7,6,4,0,196
blue,8,13,8,0,194
blue,9,7,16,0,204
red,2,7,3,0,192
red,10,8,18,0,230
blue,3,9,2,1,200
blue,8,12,7,1,226
blue,12,5,18,1,218
blue,9,3,6,0,237
red,5,7,4,0,222
blue,12,5,8,0,237
red,2,5,1,0,241
red,6,6,4,0,220
red,2,5,1,0,233
blue,4,5,4,0,227
red,1,10,0,0,207
blue,7,4,11,0,226
blue,5,2,7,1,248
red,4,9,4,0,214
blue,8,5,16,1,214
blue,5,4,6,0,246
red,2,5,2,1,211
blue,9,2,13,1,256
red,1,2,2,0,262
red,6,6,4,0,245
red,10,8,12,0,194
red,3,3,5,0,231
red,3,7,4,0,223
red,5,6,5,0,225
blue,6,4,8,0,239
red,2,3,2,0,240
red,6,6,10,0,240
blue,11,6,13,1,204
red,3,6,4,0,209
red,5,4,6,1,217
red,4,9,2,1,192
blue,2,8,1,1,229
blue,8,3,9,1,221
blue,4,4,4,1,234
red,5,4,5,1,241
blue,6,7,7,1,222
red,2,13,2,0,202
